Name,TeamAbbreviation,GamesPlayed,Minutes,Assists,AssistPoints,2ptAssists,3ptAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,season,season_type
Kemba Walker,CHA,80,2736,5.55,12.9375,3.7125,1.8375,2.1375,0.825,0.75,0.4125,1.425,2017-18,regular season
Ben Simmons,PHI,81,2732,8.160493827160494,20.049382716049386,4.432098765432099,3.728395061728395,3.0864197530864197,0.6419753086419753,0.7037037037037037,0.5679012345679012,3.1604938271604937,2017-18,regular season
Anthony Davis,NOP,75,2727,2.32,5.64,1.32,1.0,0.7866666666666666,0.36,0.17333333333333334,0.30666666666666664,0.6933333333333334,2017-18,regular season
Taj Gibson,MIN,82,2727,1.2073170731707317,2.8902439024390243,0.7317073170731707,0.47560975609756106,0.4268292682926829,0.12195121951219512,0.18292682926829268,0.1097560975609756,0.36585365853658536,2017-18,regular season
DeMar DeRozan,TOR,80,2712,5.2125,12.9375,2.7,2.5125,1.7,0.675,0.325,0.7,1.8125,2017-18,regular season
Josh Richardson,MIA,81,2689,2.851851851851852,6.790123456790122,1.7654320987654322,1.0864197530864197,1.1851851851851851,0.3456790123456789,0.2345679012345679,0.32098765432098764,0.7654320987654321,2017-18,regular season
Will Barton,DEN,81,2683,4.08641975308642,9.65432098765432,2.6049382716049383,1.4814814814814814,1.8641975308641976,0.4814814814814815,0.25925925925925924,0.32098765432098764,1.160493827160494,2017-18,regular season
Damian Lillard,POR,73,2670,6.589041095890411,15.205479452054794,4.561643835616438,2.0273972602739727,3.0,1.0273972602739727,0.5342465753424658,0.547945205479452,1.4794520547945205,2017-18,regular season
Tobias Harris,LAC,80,2668,2.4,5.9125,1.2875,1.1125,0.95,0.2,0.1375,0.375,0.7375,2017-18,regular season
Donovan Mitchell,UTA,79,2638,3.6835443037974684,9.0126582278481,2.037974683544304,1.6455696202531649,1.5569620253164558,0.2405063291139241,0.2405063291139241,0.6708860759493671,0.9746835443037974,2017-18,regular season
Harrison Barnes,DAL,77,2635,1.974025974025974,5.077922077922079,0.8441558441558441,1.12987012987013,0.4935064935064935,0.15584415584415584,0.1948051948051948,0.2987012987012987,0.8311688311688312,2017-18,regular season
Andre Drummond,DET,78,2625,3.0384615384615383,6.7435897435897445,2.371794871794872,0.6666666666666666,1.205128205128205,0.5641025641025641,0.6025641025641025,0.15384615384615385,0.5128205128205128,2017-18,regular season
Thaddeus Young,IND,81,2607,1.8765432098765435,4.530864197530863,1.0987654320987654,0.7777777777777778,0.7283950617283951,0.13580246913580246,0.2345679012345679,0.30864197530864196,0.4691358024691358,2017-18,regular season
Lou Williams,LAC,79,2589,5.278481012658228,11.759493670886073,4.075949367088608,1.2025316455696202,3.3417721518987342,0.5189873417721519,0.2151898734177216,0.4303797468354431,0.7721518987341772,2017-18,regular season
E'Twaun Moore,NOP,82,2586,2.2804878048780486,5.243902439024391,1.5975609756097562,0.6829268292682927,0.975609756097561,0.4146341463414634,0.2073170731707317,0.1951219512195122,0.4878048780487805,2017-18,regular season
Joe Ingles,UTA,82,2579,4.780487804878049,10.804878048780491,3.5365853658536586,1.2439024390243902,2.5609756097560976,0.5365853658536586,0.4390243902439024,0.5,0.7439024390243902,2017-18,regular season
Jamal Murray,DEN,81,2565,3.3827160493827164,8.061728395061728,2.08641975308642,1.2962962962962965,1.1234567901234571,0.5432098765432098,0.41975308641975306,0.20987654320987653,1.0864197530864197,2017-18,regular season
Victor Oladipo,IND,75,2552,4.306666666666667,10.013333333333334,2.9066666666666667,1.4,1.8666666666666667,0.4133333333333333,0.6266666666666667,0.44,0.96,2017-18,regular season
James Harden,HOU,72,2551,8.75,20.847222222222214,5.402777777777778,3.3472222222222223,4.986111111111111,0.2222222222222222,0.19444444444444445,1.0555555555555556,2.2916666666666665,2017-18,regular season
Robert Covington,PHI,80,2531,1.95,4.5875,1.2625,0.6875,0.9125,0.1875,0.1625,0.175,0.5125,2017-18,regular season
Kyle Lowry,TOR,78,2510,6.884615384615384,15.5,5.153846153846153,1.7307692307692308,3.435897435897436,0.9743589743589745,0.7435897435897436,0.5897435897435898,1.1410256410256407,2017-18,regular season
LaMarcus Aldridge,SAS,75,2509,2.026666666666667,4.973333333333334,1.106666666666667,0.92,0.4666666666666667,0.2533333333333333,0.38666666666666666,0.22666666666666666,0.6933333333333334,2017-18,regular season
