Name,TeamAbbreviation,GamesPlayed,Minutes,OffPoss,Points,FG2M,FG2A,Fg2Pct,FG3M,FG3A,Fg3Pct,NonHeaveFg3Pct,FtsMade,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,FG3APct,ShotQualityAvg,EfgPct,TsPct,PtsPutbacks,Fg2aBlocked,FG2APctBlocked,Fg3aBlocked,FG3APctBlocked,Usage,season,season_type
Kemba Walker,CHA,79,2739,5422,23.16455696202532,5.10126582278481,10.734177215189874,0.4752358490566038,3.0379746835443036,7.6202531645569636,0.39867109634551495,0.4006677796327212,3.848101265822785,2.050632911392405,8.151898734177216,4.670886075949367,4.443037974683544,0.20099255583126552,0.20149253731343286,0.5125,0.4151724137931033,0.5236272633033864,0.5262068965517241,0.570804741110418,0.02531645569620253,1.1898734177215189,0.1108490566037736,0.21518987341772156,0.028239202657807314,29.08911217262395,2016-17,regular season
Devin Booker,PHX,78,2731,5720,22.128205128205128,5.884615384615384,13.153846153846152,0.4473684210526316,1.8846153846153848,5.1923076923076925,0.362962962962963,0.36386138613861385,4.705128205128204,3.9230769230769234,7.846153846153847,4.307692307692308,1.3461538461538465,0.3333333333333333,0.3392461197339246,0.7619047619047619,0.2830188679245283,0.4842451364590623,0.4748427672955975,0.5300982800982801,0.20512820512820512,1.1282051282051282,0.08576998050682261,0.038461538461538464,0.007407407407407408,28.368469294225477,2016-17,regular season
Anthony Davis,NOP,75,2708,5500,27.986666666666668,9.733333333333333,18.56,0.5244252873563219,0.5333333333333333,1.7866666666666666,0.29850746268656714,0.30303030303030304,6.92,12.533333333333333,6.933333333333334,1.6,0.0,0.6438356164383562,0.7057057057057057,1.0,0.08781127129750982,0.488925,0.5176933158584535,0.5734972677595629,1.7066666666666668,0.7333333333333333,0.03951149425287357,0.013333333333333334,0.00746268656716418,32.54281949934124,2016-17,regular season
Damian Lillard,POR,75,2693,5438,26.986666666666668,5.96,12.12,0.4917491749174918,2.853333333333333,7.72,0.3696027633851468,0.370242214532872,6.506666666666668,2.8,9.12,4.24,4.32,0.2348993288590604,0.2380952380952381,0.4953271028037383,0.3891129032258064,0.5037928956228956,0.5161290322580645,0.5816091954022988,0.16,1.1866666666666668,0.09790979097909792,0.14666666666666667,0.018998272884283247,30.805304010349282,2016-17,regular season
Paul George,IND,75,2689,5375,23.66666666666667,5.6933333333333325,11.36,0.5011737089201878,2.6,6.6,0.3939393939393939,0.3955375253549696,4.48,4.266666666666667,7.12,6.36,1.44,0.3747072599531616,0.3818615751789976,0.8153846153846154,0.3674832962138085,0.4776762331838565,0.5341499628804751,0.5827314510833881,0.21333333333333332,0.6666666666666666,0.05868544600938967,0.04,0.006060606060606061,28.95935233597571,2016-17,regular season
Bradley Beal,WAS,77,2684,5472,23.10389610389611,5.3766233766233755,10.0,0.5376623376623376,2.8961038961038965,7.1688311688311686,0.4039855072463768,0.40693430656934304,3.6623376623376624,5.220779220779222,5.532467532467534,7.012987012987013,1.675324675324675,0.4855072463768116,0.4938574938574938,0.8071748878923767,0.4175491679273828,0.5164602583586626,0.5661875945537065,0.5965794768611671,0.18181818181818185,0.7402597402597403,0.07402597402597402,0.03896103896103896,0.005434782608695652,26.19434514137147,2016-17,regular season
Jeff Teague,IND,82,2657,5349,15.292682926829267,3.804878048780488,8.012195121951219,0.4748858447488584,1.0975609756097562,3.0731707317073167,0.35714285714285715,0.3614457831325301,4.390243902439025,0.7317073170731707,6.878048780487805,1.9756097560975612,1.3170731707317074,0.09615384615384616,0.0977198697068404,0.6,0.27722772277227725,0.4802608093126386,0.4917491749174918,0.5741758241758241,0.12195121951219512,1.0975609756097562,0.136986301369863,0.024390243902439025,0.007936507936507936,22.169410965880157,2016-17,regular season
Gorgui Dieng,MIN,82,2653,5198,9.951219512195124,3.8536585365853657,7.536585365853658,0.511326860841424,0.1951219512195122,0.5243902439024389,0.372093023255814,0.41025641025641024,1.6585365853658536,6.024390243902439,1.6829268292682926,0.5487804878048781,0.03658536585365853,0.7816455696202531,0.8606271777003485,0.9375,0.06505295007564296,0.4996077625570776,0.5143721633888049,0.5543478260869565,0.7073170731707317,0.5853658536585366,0.07766990291262135,0.0,0.0,14.232652372108726,2016-17,regular season
Klay Thompson,GSW,78,2649,5472,22.33333333333333,4.82051282051282,9.346153846153848,0.5157750342935528,3.435897435897436,8.294871794871796,0.4142194744976816,0.4142194744976816,2.3846153846153846,7.230769230769232,2.41025641025641,9.846153846153848,0.4615384615384616,0.75,0.7642276422764228,0.9552238805970148,0.47020348837209297,0.5083051598837209,0.565406976744186,0.5885135135135136,0.1794871794871795,0.5,0.05349794238683128,0.05128205128205128,0.0061823802163833074,26.275090490292854,2016-17,regular season
Stephen Curry,GSW,79,2639,5621,25.30379746835443,4.443037974683544,8.278481012658228,0.536697247706422,4.10126582278481,9.9873417721519,0.4106463878326996,0.4211212516297262,4.113924050632911,3.6708860759493667,5.215189873417722,7.89873417721519,4.405063291139242,0.4131054131054131,0.4239766081871345,0.6419753086419753,0.5467775467775468,0.5208771156558533,0.58004158004158,0.6196528208307501,0.2278481012658228,0.6075949367088608,0.07339449541284404,0.08860759493670886,0.008871989860583017,28.97419560369545,2016-17,regular season
