season_name,team_name,win,loss,pct,home,away,div,conf,ppg,opp_ppg,diff
2010-11,ORL,52,30,.634,29-12,23-18,11-5,36-16,99.2,93.7,+5.5
2010-11,DEN,50,32,.610,33-8,17-24,9-7,30-22,107.5,102.7,+4.8
2010-11,POR,48,34,.585,30-11,18-23,10-6,30-22,96.3,94.8,+1.5
2010-11,NO,46,36,.561,28-13,18-23,9-7,27-25,94.9,94.0,+0.9
2010-11,MEM,46,36,.561,30-11,16-25,8-8,30-22,99.9,97.6,+2.3
2010-11,ATL,44,38,.537,24-17,20-21,9-7,31-21,95.0,95.8,-0.8
2010-11,HOU,43,39,.524,25-16,18-23,5-11,25-27,105.9,103.7,+2.2
2010-11,NY,42,40,.512,23-18,19-22,10-6,28-24,106.5,105.7,+0.8
2010-11,PHI,41,41,.500,26-15,15-26,9-7,25-27,99.0,97.5,+1.5
2010-11,PHX,40,42,.488,23-18,17-24,9-7,23-29,105.0,105.9,-0.9
2010-11,UTAH,39,43,.476,21-20,18-23,7-9,21-31,99.4,101.3,-1.9
2017-18,LAC,42,40,.512,22-19,20-21,12-4,24-28,109.0,109.0,0.0
2017-18,DET,39,43,.476,25-16,14-27,9-7,24-28,103.8,103.9,-0.1
2017-18,CHA,36,46,.439,21-20,15-26,11-5,22-30,108.2,108.0,+0.2
2017-18,LAL,35,47,.427,20-21,15-26,6-10,19-33,108.1,109.6,-1.5
2017-18,NY,29,53,.354,19-22,10-31,6-10,17-35,104.5,108.0,-3.5
2017-18,BKN,28,54,.341,15-26,13-28,1-15,19-33,106.6,110.3,-3.7
2017-18,SAC,27,55,.329,14-27,13-28,5-11,14-38,98.8,105.8,-7.0
2017-18,CHI,27,55,.329,17-24,10-31,4-12,21-31,102.9,110.0,-7.1
2017-18,ORL,25,57,.305,17-24,8-33,5-11,15-37,103.4,108.2,-4.8
2017-18,DAL,24,58,.293,15-26,9-32,5-11,14-38,102.3,105.4,-3.1
2017-18,ATL,24,58,.293,16-25,8-33,5-11,12-40,103.4,108.8,-5.4
2017-18,MEM,22,60,.268,16-25,6-35,5-11,18-34,99.3,105.5,-6.2
2017-18,PHX,21,61,.256,10-31,11-30,4-12,15-37,103.9,113.3,-9.4
2018-19,TOR,58,24,.707,32-9,26-15,12-4,36-16,114.4,108.4,+6.0
2018-19,GS,57,25,.695,30-11,27-14,13-3,35-17,117.7,111.2,+6.5
2018-19,DEN,54,28,.659,34-7,20-21,12-4,34-18,110.7,106.7,+4.0
2018-19,HOU,53,29,.646,31-10,22-19,10-6,32-20,113.9,109.1,+4.8
2018-19,POR,53,29,.646,32-9,21-20,6-10,29-23,114.7,110.5,+4.2
2018-19,PHI,51,31,.622,31-10,20-21,8-8,31-21,115.2,112.5,+2.7
2018-19,UTAH,50,32,.610,29-12,21-20,8-8,30-22,111.7,106.5,+5.2
2018-19,BOS,49,33,.598,28-13,21-20,10-6,35-17,112.4,108.0,+4.4
2018-19,OKC,49,33,.598,27-14,22-19,9-7,28-24,114.5,111.1,+3.4
2018-19,IND,48,34,.585,29-12,19-22,11-5,33-19,108.0,104.7,+3.3
2018-19,SA,48,34,.585,32-9,16-25,10-6,30-22,111.7,110.0,+1.7
2018-19,LAC,48,34,.585,26-15,22-19,11-5,28-24,115.1,114.3,+0.8
2018-19,ORL,42,40,.512,25-16,17-24,10-6,30-22,107.3,106.6,+0.7
2018-19,BKN,42,40,.512,23-18,19-22,8-8,29-23,112.2,112.3,-0.1
2010-11,IND,37,45,.451,24-17,13-28,9-7,28-24,99.8,100.9,-1.1
2010-11,GS,36,46,.439,26-15,10-31,5-11,21-31,103.4,105.7,-2.3
2010-11,MIL,35,47,.427,22-19,13-28,6-10,26-26,91.9,92.7,-0.8
2010-11,CHA,34,48,.415,21-20,13-28,4-12,22-30,93.3,97.3,-4.0
2010-11,LAC,32,50,.390,23-18,9-32,7-9,19-33,98.6,101.8,-3.2
2010-11,DET,30,52,.366,21-20,9-32,7-9,22-30,97.0,100.6,-3.6
2010-11,NJ,24,58,.293,19-22,5-36,3-13,13-39,94.2,100.4,-6.2
2010-11,SAC,24,58,.293,11-30,13-28,7-9,15-37,99.4,104.7,-5.3
2010-11,WSH,23,59,.280,20-21,3-38,3-13,16-36,97.3,104.7,-7.4
2010-11,TOR,22,60,.268,16-25,6-35,5-11,14-38,99.1,105.4,-6.3
2010-11,CLE,19,63,.232,12-29,7-34,3-13,15-37,95.5,104.5,-9.0
2010-11,MIN,17,65,.207,12-29,5-36,1-15,7-45,101.1,107.7,-6.6
2018-19,DET,41,41,.500,26-15,15-26,8-8,27-25,107.0,107.3,-0.3
2018-19,CHA,39,43,.476,25-16,14-27,10-6,29-23,110.7,111.8,-1.1
2018-19,SAC,39,43,.476,24-17,15-26,4-12,21-31,114.2,115.3,-1.1
2018-19,MIA,39,43,.476,19-22,20-21,7-9,23-29,105.7,105.9,-0.2
2018-19,LAL,37,45,.451,22-19,15-26,9-7,25-27,111.8,113.5,-1.7
2018-19,MIN,36,46,.439,25-16,11-30,5-11,22-30,112.5,114.0,-1.5
2018-19,MEM,33,49,.402,21-20,12-29,8-8,24-28,103.5,106.1,-2.6
2018-19,NO,33,49,.402,19-22,14-27,8-8,23-29,115.4,116.8,-1.4
2018-19,DAL,33,49,.402,24-17,9-32,4-12,18-34,108.9,110.1,-1.2
2018-19,WSH,32,50,.390,22-19,10-31,7-9,19-33,114.0,116.9,-2.9
2018-19,ATL,29,53,.354,17-24,12-29,6-10,16-36,113.3,119.4,-6.1
2018-19,CHI,22,60,.268,9-32,13-28,3-13,16-36,104.9,113.4,-8.5
2018-19,CLE,19,63,.232,13-28,6-35,4-12,15-37,104.5,114.1,-9.6
2018-19,PHX,19,63,.232,12-29,7-34,3-13,11-41,107.5,116.8,-9.3
2018-19,NY,17,65,.207,9-32,8-33,2-14,11-41,104.6,113.8,-9.2
