Name,TeamAbbreviation,GamesPlayed,Minutes,Assists,AssistPoints,2ptAssists,3ptAssists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,Corner3Assists,Arc3Assists,season,season_type
Victor Oladipo,OKC,67,2223,2.626865671641791,5.9850746268656705,1.8955223880597012,0.7313432835820896,1.1940298507462686,0.373134328358209,0.3283582089552239,0.2835820895522388,0.4477611940298508,2016-17,regular season
Brook Lopez,BKN,75,2222,2.3466666666666667,5.6,1.44,0.9066666666666666,1.24,0.13333333333333333,0.06666666666666668,0.21333333333333332,0.6933333333333334,2016-17,regular season
Dwight Howard,ATL,74,2199,1.4054054054054057,3.1756756756756763,1.0405405405405406,0.3648648648648649,0.5945945945945946,0.06756756756756757,0.3783783783783784,0.14864864864864866,0.21621621621621626,2016-17,regular season
JJ Redick,LAC,78,2198,1.4102564102564104,3.217948717948718,1.0128205128205128,0.3974358974358974,0.7948717948717948,0.05128205128205128,0.16666666666666666,0.14102564102564102,0.2564102564102564,2016-17,regular season
Wilson Chandler,DEN,71,2197,1.9859154929577465,5.0,0.9577464788732394,1.028169014084507,0.5915492957746479,0.19718309859154928,0.16901408450704225,0.2676056338028169,0.7605633802816901,2016-17,regular season
Al Horford,BOS,68,2193,4.955882352941177,11.720588235294118,3.147058823529412,1.8088235294117647,2.0294117647058822,0.5735294117647058,0.5441176470588235,0.6176470588235294,1.1911764705882353,2016-17,regular season
Jrue Holiday,NOP,67,2190,7.2835820895522385,17.119402985074625,4.731343283582089,2.5522388059701493,2.7313432835820897,0.9402985074626866,1.0597014925373134,0.6865671641791045,1.8656716417910448,2016-17,regular season
Nik Stauskas,PHI,80,2188,2.35,5.5125,1.5375,0.8125,1.0,0.375,0.1625,0.175,0.6375,2016-17,regular season
Tyler Johnson,MIA,73,2178,3.191780821917808,7.657534246575342,1.9178082191780816,1.2739726027397258,1.1643835616438356,0.4520547945205479,0.3013698630136986,0.5342465753424658,0.7397260273972602,2016-17,regular season
Eric Bledsoe,PHX,66,2176,6.333333333333332,14.803030303030305,4.196969696969697,2.136363636363636,2.727272727272727,0.5151515151515151,0.9545454545454546,0.8636363636363636,1.2727272727272727,2016-17,regular season
Kristaps Porzingis,NYK,66,2164,1.4696969696969695,3.5303030303030303,0.8787878787878788,0.5909090909090909,0.3636363636363637,0.19696969696969696,0.3181818181818182,0.18181818181818185,0.4090909090909091,2016-17,regular season
Nikola Vucevic,ORL,75,2163,2.773333333333333,6.8,1.52,1.2533333333333334,0.9066666666666666,0.3466666666666667,0.26666666666666666,0.22666666666666666,1.0266666666666666,2016-17,regular season
Jamal Crawford,LAC,82,2157,2.609756097560976,6.012195121951219,1.8170731707317076,0.7926829268292683,1.3658536585365857,0.25609756097560976,0.1951219512195122,0.25609756097560976,0.5365853658536586,2016-17,regular season
Tim Hardaway Jr.,ATL,79,2153,2.3037974683544302,5.291139240506329,1.620253164556962,0.6835443037974683,0.9873417721518988,0.20253164556962025,0.4303797468354431,0.2405063291139241,0.4430379746835443,2016-17,regular season
Mason Plumlee,DEN,81,2148,3.5061728395061733,8.197530864197532,2.320987654320988,1.1851851851851851,1.4814814814814814,0.2716049382716049,0.5679012345679012,0.2222222222222222,0.9629629629629628,2016-17,regular season
Ersan Ilyasova,ATL,82,2142,1.7195121951219512,4.024390243902439,1.1341463414634143,0.5853658536585366,0.8048780487804879,0.2195121951219512,0.1097560975609756,0.14634146341463414,0.4390243902439024,2016-17,regular season
Danilo Gallinari,DEN,63,2134,2.142857142857143,4.904761904761905,1.5238095238095235,0.6190476190476191,0.9682539682539684,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.5079365079365079,2016-17,regular season
T.J. McConnell,PHI,81,2133,6.592592592592593,15.703703703703706,4.0740740740740735,2.5185185185185186,2.962962962962963,0.5555555555555556,0.5555555555555556,0.4444444444444444,2.074074074074074,2016-17,regular season
Julius Randle,LAL,74,2132,3.5675675675675675,9.013513513513514,1.6891891891891893,1.8783783783783785,0.8513513513513513,0.1891891891891892,0.6486486486486487,0.4189189189189189,1.4594594594594594,2016-17,regular season
Dario Saric,PHI,81,2129,2.2469135802469142,5.3580246913580245,1.3827160493827158,0.8641975308641975,0.8641975308641975,0.3580246913580247,0.16049382716049382,0.2345679012345679,0.6296296296296297,2016-17,regular season
Robert Covington,PHI,67,2119,1.5223880597014925,3.7014925373134333,0.8656716417910447,0.6567164179104478,0.5522388059701493,0.13432835820895522,0.1791044776119403,0.26865671641791045,0.3880597014925373,2016-17,regular season
